Month-n,year,date,auto,air
1,2020,2020-01-01,2511,15000
2,2020,2020-02-01,1746,14000
3,2020,2020-03-01,2262,9000
4,2020,2020-04-01,955,1000
5,2020,2020-05-01,1485,1800
6,2020,2020-06-01,1531,3000
7,2020,2020-07-01,4296,7500
8,2020,2020-08-01,8418,11000
9,2020,2020-09-01,5779,7000
10,2020,2020-10-01,5320,6500
11,2020,2020-11-01,2950,5000
12,2020,2020-12-01,1298,4500
1,2021,2021-01-01,1384,2099
2,2021,2021-02-01,1117,1260
3,2021,2021-03-01,1262,1491
4,2021,2021-04-01,1590,1653
5,2021,2021-05-01,1782,2116
6,2021,2021-06-01,2030,3961
7,2021,2021-07-01,9109,13660
8,2021,2021-08-01,18159,33150
9,2021,2021-09-01,14525,22367
10,2021,2021-10-01,8360,14957
11,2021,2021-11-01,2886,9947
12,2021,2021-12-01,2467,9972
